partType,name,image,url,size
case,Montech X3 Mesh ATX Mid Tower Case (X3 Mesh Black),https://cdna.pcpartpicker.com/static/forever/images/product/9e7790ee9397346b4c023cc04296fb5e.256p.jpg,https://pcpartpicker.com/product/HRH7YJ/montech-x3-mesh-atx-mid-tower-case-x3-mesh-black,ATX
case,Lian Li LANCOOL 216 ATX Mid Tower Case (LANCOOL 216X),https://cdna.pcpartpicker.com/static/forever/images/product/dc1a8a0fc34540a759fcee0a553949e0.256p.jpg,https://pcpartpicker.com/product/qP2WGX/lian-li-lancool-216-atx-mid-tower-case-lancool-216x,ATX
case,Corsair iCUE 4000D RGB AIRFLOW ATX Mid Tower Case (CC-9011240-WW),https://cdna.pcpartpicker.com/static/forever/images/product/7429a209ece7eda0e02c11ba86aefbf4.256p.jpg,https://pcpartpicker.com/product/mGXV3C/corsair-icue-4000d-rgb-airflow-atx-mid-tower-case-cc-9011240-ww,ATX
case,Lian Li LANCOOL 216 ATX Mid Tower Case (LANCOOL 216RW),https://cdna.pcpartpicker.com/static/forever/images/product/f4d776081b676d3dbf78ac6db48be9d6.256p.jpg,https://pcpartpicker.com/product/QcddnQ/lian-li-lancool-216-atx-mid-tower-case-lancool-216rw,ATX
case,Lian Li PC-O11 Dynamic ATX Full Tower Case (PC-O11DW),https://cdna.pcpartpicker.com/static/forever/images/product/580387945cfb3fe6bac9ef5844c2b55f.256p.jpg,https://pcpartpicker.com/product/VxRzK8/lian-li-pc-o11dw-atx-full-tower-case-pc-o11dw,ATX
case,Deepcool CC560 ATX Mid Tower Case (R-CC560-WHGAA4-G-1),https://cdna.pcpartpicker.com/static/forever/images/product/00041d8a3fa9c8f4eed74166d71143bb.256p.jpg,https://pcpartpicker.com/product/44zhP6/deepcool-cc560-atx-mid-tower-case-r-cc560-whgaa4-g-1,ATX
case,Lian Li O11 Air Mini ATX Mid Tower Case (O11AMX),https://cdna.pcpartpicker.com/static/forever/images/product/fa0752303b39c0affe2244992c585515.256p.jpg,https://pcpartpicker.com/product/RvNxFT/lian-li-o11-air-mini-atx-mid-tower-case-o11amx,ATX
case,Phanteks Enthoo Elite ATX Full Tower Case (PH-ES916E_BK),https://cdna.pcpartpicker.com/static/forever/images/product/4f63b7e67f35a52d309278af49953f6c.256p.jpg,https://pcpartpicker.com/product/hbYWGX/phanteks-enthoo-elite-black-atx-full-tower-case-ph-es916e_bk,ATX
case,Fractal Design Torrent ATX Mid Tower Case (FD-C-TOR1A-01),https://cdna.pcpartpicker.com/static/forever/images/product/6ed0eafe090016aba2869fcd8aa5debf.256p.jpg,https://pcpartpicker.com/product/BjqPxr/fractal-design-torrent-atx-mid-tower-case-fd-c-tor1a-01,ATX
case,Fractal Design Pop Air ATX Mid Tower Case (FD-C-POR1A-01),https://cdna.pcpartpicker.com/static/forever/images/product/959f9cbd45cb157a5c46ffa503d67ec7.256p.jpg,https://pcpartpicker.com/product/3nD7YJ/fractal-design-pop-air-atx-mid-tower-case-fd-c-por1a-01,ATX
case,Lian Li LANCOOL 215 ATX Mid Tower Case (LANCOOL 215 BLACK),https://cdna.pcpartpicker.com/static/forever/images/product/130d96ea79023c8e2b209551f02fc5b4.256p.jpg,https://pcpartpicker.com/product/YCH8TW/lian-li-lancool-215-atx-mid-tower-case-lancool-215-black,ATX
case,be quiet! Pure Base 500DX ATX Mid Tower Case (BGW37),https://cdna.pcpartpicker.com/static/forever/images/product/f0f421e3fc3867493483981e8171cdc6.256p.jpg,https://pcpartpicker.com/product/FCK2FT/be-quiet-pure-base-500dx-atx-mid-tower-case-bgw37,ATX
case,NZXT H5 Elite ATX Mid Tower Case (CC-H51EB-01),https://m.media-amazon.com/images/I/31sCEpDLi3L.jpg,https://pcpartpicker.com/product/FbWzK8/nzxt-h5-elite-atx-mid-tower-case-cc-h51eb-01,ATX
case,Zalman S2 ATX Mid Tower Case (S2),https://cdna.pcpartpicker.com/static/forever/images/product/57709fd32c80825278a1956146554862.256p.jpg,https://pcpartpicker.com/product/Bcprxr/zalman-s2-atx-mid-tower-case-s2,ATX
case,NZXT H9 Elite ATX Mid Tower Case (CM-H91EB-01),https://cdna.pcpartpicker.com/static/forever/images/product/3343638ac7c51fa6e94ae27e5413fa37.256p.jpg,https://pcpartpicker.com/product/8XmmP6/nzxt-h9-elite-atx-mid-tower-case-cm-h91eb-01,ATX
case,Corsair iCUE 7000X RGB ATX Full Tower Case (CC-9011226-WW),https://cdna.pcpartpicker.com/static/forever/images/product/9d9c87b6c5733128026e68890dad154f.256p.jpg,https://pcpartpicker.com/product/CRzhP6/corsair-icue-7000x-rgb-atx-mid-tower-case-cc-9011226-ww,ATX
case,NZXT H510 Elite ATX Mid Tower Case (CA-H510E-W1),https://cdna.pcpartpicker.com/static/forever/images/product/ef210e01af6191ab58a81a1fa721e9a0.256p.jpg,https://pcpartpicker.com/product/kpx2FT/nzxt-h510-elite-atx-mid-tower-case-ca-h510e-w1,ATX
case,HYTE Y40 ATX Mid Tower Case (CS-HYTE-Y40-B),https://cdna.pcpartpicker.com/static/forever/images/product/cb6d152b7ecc66262a7f50424834fae0.256p.jpg,https://pcpartpicker.com/product/2djBD3/hyte-y40-atx-mid-tower-case-cs-hyte-y40-b,ATX
case,Lian Li LANCOOL III RGB ATX Mid Tower Case (LANCOOL 3R-X),https://cdna.pcpartpicker.com/static/forever/images/product/55d2c192011b510c1883930977ae6110.256p.jpg,https://pcpartpicker.com/product/WggFf7/lian-li-lancool-iii-rgb-atx-mid-tower-case-lancool-3r-x,ATX
case,NZXT H7 Flow ATX Mid Tower Case (CM-H71FW-01),https://cdna.pcpartpicker.com/static/forever/images/product/c92b51fe0eb877d5d25cb57eb4e63ab6.256p.jpg,https://pcpartpicker.com/product/Ckt9TW/nzxt-h7-flow-atx-mid-tower-case-cm-h71fw-01,ATX
case,Fractal Design Focus 2 RGB ATX Mid Tower Case (FD-C-FOC2A-04),https://cdna.pcpartpicker.com/static/forever/images/product/6c2e43f9de5df67952617f784b3f60e5.256p.jpg,https://pcpartpicker.com/product/zL3gXL/fractal-design-focus-2-rgb-atx-mid-tower-case-fd-c-foc2a-04,ATX
case,NZXT H5 Flow RGB ATX Mid Tower Case (CC-H51FB-R1),https://cdna.pcpartpicker.com/static/forever/images/product/947ab5c2669facb241e66cce8fe21f0d.256p.jpg,https://pcpartpicker.com/product/43tLrH/nzxt-h5-flow-rgb-atx-mid-tower-case-cc-h51fb-r1,ATX
case,Fractal Design North ATX Mid Tower Case (FD-C-NOR1C-01),https://cdna.pcpartpicker.com/static/forever/images/product/40259fa42b719eb002196e566b8b8c7b.256p.jpg,https://pcpartpicker.com/product/sHYmP6/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-01,ATX
case,Deepcool MATREXX 50 ADD-RGB 4F ATX Mid Tower Case (DP-ATX-MATREXX50-AR-4F-NE),https://cdna.pcpartpicker.com/static/forever/images/product/73601479baad8839686fa3919ba866fe.256p.jpg,https://pcpartpicker.com/product/YJfFf7/deepcool-matrexx-50-add-rgb-4f-atx-mid-tower-case-dp-atx-matrexx50-ar-4f-ne,ATX
case,Fractal Design Focus G ATX Mid Tower Case (FD-CA-FOCUS-BK-W),https://cdna.pcpartpicker.com/static/forever/images/product/1ee4eb7d40aaf6bb43c86b4865407c2d.256p.jpg,https://pcpartpicker.com/product/ZHmxFT/fractal-design-focus-g-black-atx-mid-tower-case-fd-ca-focus-bk-w,ATX
case,Phanteks Eclipse P400A Digital ATX Mid Tower Case (PH-EC400ATG_DBK),https://cdna.pcpartpicker.com/static/forever/images/product/b11dd409015fa37679b6a1bbcafa278f.256p.jpg,https://pcpartpicker.com/product/QdXYcf/phanteks-eclipse-p400a-digital-atx-mid-tower-case-ph-ec400atg_dbk,ATX
case,Corsair iCUE 5000X RGB ATX Mid Tower Case (CC-9011212-WW),https://cdna.pcpartpicker.com/static/forever/images/product/7066d38df09ac1a7db60c2ba253f482c.256p.jpg,https://pcpartpicker.com/product/v7Dkcf/corsair-icue-5000x-rgb-atx-mid-tower-case-cc-9011212-ww,ATX
case,NZXT H5 Elite ATX Mid Tower Case (CC-H51EW-01),https://m.media-amazon.com/images/I/41WAj8IVlTL.jpg,https://pcpartpicker.com/product/3g8bt6/nzxt-h5-elite-atx-mid-tower-case-cc-h51ew-01,ATX
case,Cooler Master Cosmos Infinity 30th Anniversary ATX Full Tower Case (MCC-C700M-KHNN-S30),https://cdna.pcpartpicker.com/static/forever/images/product/6b27c80bf4bba421ac7530bccc95c4e8.256p.jpg,https://pcpartpicker.com/product/MgJp99/cooler-master-cosmos-infinity-30th-anniversary-atx-full-tower-case-mcc-c700m-khnn-s30,ATX
case,Corsair Carbide Series 175R RGB ATX Mid Tower Case (CC-9011171-WW),https://cdna.pcpartpicker.com/static/forever/images/product/925ec5e458bd51c39f977597d242b009.256p.jpg,https://pcpartpicker.com/product/Vk448d/corsair-carbide-175r-rgb-atx-mid-tower-case-cc-9011171-ww,ATX
