partType,name,image,url,type
cooler,Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION 58.54 CFM Liquid CPU Cooler (GA-360SLB),https://m.media-amazon.com/images/I/41dVybBj8zL.jpg,https://pcpartpicker.com/product/CVZ9TW/lian-li-galahad-aio-360-rgb-uni-fan-sl120-edition-5854-cfm-liquid-cpu-cooler-ga-360slb,liquid
cooler,NZXT Kraken 240 RGB 78.02 CFM Liquid CPU Cooler (RL-KR240-B1),https://cdna.pcpartpicker.com/static/forever/images/product/038ec9aa1fddbeb6cd45c91348943127.256p.jpg,https://pcpartpicker.com/product/ccbRsY/nzxt-kraken-240-rgb-7802-cfm-liquid-cpu-cooler-rl-kr240-b1,liquid
cooler,NZXT Kraken X53 RGB 52.44 CFM Liquid CPU Cooler (RL-KRX53-R1),https://cdna.pcpartpicker.com/static/forever/images/product/bef67a1d0d36c5566a21678a772ff7ec.256p.jpg,https://pcpartpicker.com/product/CqcRsY/nzxt-kraken-x53-rgb-5244-cfm-liquid-cpu-cooler-rl-krx53-r1,liquid
cooler,Corsair iCUE H170i ELITE LCD XT 89 CFM Liquid CPU Cooler (CW-9060076-WW),https://cdna.pcpartpicker.com/static/forever/images/product/bc2d553706b1009178d061fac7e55c67.256p.jpg,https://pcpartpicker.com/product/vCJp99/corsair-icue-h170i-elite-lcd-xt-89-cfm-liquid-cpu-cooler-cw-9060076-ww,liquid
cooler,MSI MAG CORELIQUID P360 78.73 CFM Liquid CPU Cooler (MAG CORELIQUID P360),https://cdna.pcpartpicker.com/static/forever/images/product/fa9d24f9c5809afc43db6fdf78f565db.256p.jpg,https://pcpartpicker.com/product/vjC48d/msi-mag-coreliquid-p360-7873-cfm-liquid-cpu-cooler-mag-coreliquid-p360,liquid
cooler,NZXT Kraken 120 73.11 CFM Liquid CPU Cooler (RL-KR120-B1),https://cdna.pcpartpicker.com/static/forever/images/product/fce03253070b8542ded02ac3bdc3b8f7.256p.jpg,https://pcpartpicker.com/product/dWkWGX/nzxt-kraken-120-7311-cfm-liquid-cpu-cooler-rl-kr120-b1,liquid
cooler,ARCTIC Liquid Freezer II 240 A-RGB 48.8 CFM Liquid CPU Cooler (ACFRE00093A),https://cdna.pcpartpicker.com/static/forever/images/product/79a2b9aa759e9a1fd1b30b0a99c72a08.256p.jpg,https://pcpartpicker.com/product/c7wypg/arctic-liquid-freezer-ii-240-a-rgb-488-cfm-liquid-cpu-cooler-acfre00093a,liquid
cooler,Corsair iCUE H150i ELITE LCD 58.1 CFM Liquid CPU Cooler (CW-9060062-WW),https://cdna.pcpartpicker.com/static/forever/images/product/eacc91b741eda1f196d910125506d5b4.256p.jpg,https://pcpartpicker.com/product/GLjBD3/corsair-icue-h150i-elite-lcd-581-cfm-liquid-cpu-cooler-cw-9060062-ww,liquid
cooler,MSI MEG CORELIQUID S360 56.2 CFM Liquid CPU Cooler (MEG CoreLiquid S360),https://cdna.pcpartpicker.com/static/forever/images/product/cbbdc86a542408a48ee588f20638430c.256p.jpg,https://pcpartpicker.com/product/LGH7YJ/msi-meg-coreliquid-s360-562-cfm-liquid-cpu-cooler-meg-coreliquid-s360,liquid
cooler,Asus ROG Ryujin III ARGB 70.07 CFM Liquid CPU Cooler (90RC00L1-M0UAY0),https://cdna.pcpartpicker.com/static/forever/images/product/398ac27e1b3409e2be6617fb96bf6a30.256p.jpg,https://pcpartpicker.com/product/wqHqqs/asus-rog-ryujin-iii-argb-7007-cfm-liquid-cpu-cooler-90rc00l1-m0uay0,liquid
