partType,name,image,url,brand,socket,size
motherboard,Asus PRIME B365M-A Micro ATX LGA1151 Motherboard (PRIME B365M-A),https://cdna.pcpartpicker.com/static/forever/images/product/bee3d1c5e595ba1c3b3dcf9852b5f734.256p.jpg,https://pcpartpicker.com/product/qnm323/asus-prime-b365m-a-micro-atx-lga1151-motherboard-prime-b365m-a,Intel,LGA 1151,ATX
motherboard,Gigabyte H310M S2H Micro ATX LGA1151 Motherboard (H310M S2H),https://cdna.pcpartpicker.com/static/forever/images/product/b088ec1a989620604f2614b079e45668.256p.jpg,https://pcpartpicker.com/product/gQfhP6/gigabyte-h310m-s2h-micro-atx-lga1151-motherboard-h310m-s2h,Intel,LGA 1151,ATX
motherboard,Asus MAXIMUS VIII FORMULA ATX LGA1151 Motherboard (MAXIMUS VIII FORMULA),https://images-na.ssl-images-amazon.com/images/I/51FNSt3cABL.jpg,https://pcpartpicker.com/product/jH2rxr/asus-motherboard-maximusviiiformula,Intel,LGA 1151,ATX
motherboard,Asus PRIME Z270-P ATX LGA1151 Motherboard (PRIME Z270-P),https://cdna.pcpartpicker.com/static/forever/images/product/2379931ee84ad14207daeb9631d60e56.256p.jpg,https://pcpartpicker.com/product/xwH48d/asus-prime-z270-p-atx-lga1151-motherboard-prime-z270-p,Intel,LGA 1151,ATX
motherboard,MSI Z370 GAMING PLUS ATX LGA1151 Motherboard (Z370 GAMING PLUS),https://cdna.pcpartpicker.com/static/forever/images/product/15e80b925c8d5e1e1f5d4e0e8a24acd3.256p.jpg,https://pcpartpicker.com/product/rXCrxr/msi-z370-gaming-plus-atx-lga1151-motherboard-z370-gaming-plus,Intel,LGA 1151,ATX
motherboard,Gigabyte B365M DS3H WIFI Micro ATX LGA1151 Motherboard (B365M DS3H WIFI),https://cdna.pcpartpicker.com/static/forever/images/product/218f2454f77327522d57028e90fe1b77.256p.jpg,https://pcpartpicker.com/product/qCYQzy/gigabyte-b365m-ds3h-wifi-micro-atx-lga1151-motherboard-b365m-ds3h-wifi,Intel,LGA 1151,ATX
motherboard,Gigabyte B360M DS3H Micro ATX LGA1151 Motherboard (B360M DS3H),https://m.media-amazon.com/images/I/51CbQdmpitL.jpg,https://pcpartpicker.com/product/PgQG3C/gigabyte-b360m-ds3h-micro-atx-lga1151-motherboard-b360m-ds3h,Intel,LGA 1151,ATX
motherboard,ASRock Z390 Pro4 ATX LGA1151 Motherboard (Z390 Pro4),https://cdna.pcpartpicker.com/static/forever/images/product/149d9cfc82156a641cab6c9452c8a1f2.256p.jpg,https://pcpartpicker.com/product/4srmP6/asrock-z390-pro4-atx-lga1151-motherboard-z390-pro4,Intel,LGA 1151,ATX
motherboard,ASRock B365 Phantom Gaming 4 ATX LGA1151 Motherboard (B365 Phantom Gaming 4),https://cdna.pcpartpicker.com/static/forever/images/product/b27a06d323dab8239b1ac9b146377542.256p.jpg,https://pcpartpicker.com/product/WQJtt6/asrock-b365-phantom-gaming-4-atx-lga1151-motherboard-b365-phantom-gaming-4,Intel,LGA 1151,ATX
motherboard,Gigabyte GA-H110M-A Micro ATX LGA1151 Motherboard (GA-H110M-A),https://m.media-amazon.com/images/I/61hSPoGIt2L.jpg,https://pcpartpicker.com/product/hMvZxr/gigabyte-motherboard-gah110ma,Intel,LGA 1151,ATX
