partType,name,image,url,power,size
psu,Silverstone Strider 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (ST1000-GE),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/qz4gXL/silverstone-strider-gold-evolution-1000-w-80-gold-certified-fully-modular-atx-power-supply-st1000-ge,1000,ATX
psu,Cooler Master Silent Pro Platinum 1000 W 80+ Platinum Certified Semi-modular ATX Power Supply (RSA00-SPPAD3-US),https://m.media-amazon.com/images/I/41TChtNdn8L.jpg,https://pcpartpicker.com/product/c3PfrH/cooler-master-power-supply-rsa00sppad3us,1000,ATX
psu,Super Flower LEADEX Special Edition 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply (SF-1000F14MP v1.0),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/8KzFf7/super-flower-leadex-special-edition-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sf-1000f14mp-v10,1000,ATX
psu,LEPA G1000-MA 1000 W 80+ Gold Certified Semi-modular ATX Power Supply (G1000-MA),https://m.media-amazon.com/images/I/41262gH1+7L.jpg,https://pcpartpicker.com/product/VMzv6h/lepa-power-supply-g1000ma,1000,ATX
psu,Fractal Design Newton R3 1000 W 80+ Platinum Certified Semi-modular ATX Power Supply (FD-PSU-NT3W-1000W),https://m.media-amazon.com/images/I/41QJriNmATL.jpg,https://pcpartpicker.com/product/Q3rG3C/fractal-design-power-supply-fdpsunt3w1000w,1000,ATX
psu,Raidmax Vampire 1000 W 80+ Gold Certified Semi-modular ATX Power Supply (RX-1000GH),https://m.media-amazon.com/images/I/51XvYPPPZML.jpg,https://pcpartpicker.com/product/xKFPxr/raidmax-power-supply-rx1000gh,1000,ATX
psu,Azza Titan 1000 W 80+ Bronze Certified ATX Power Supply (PSAZ-1000A14S),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/ZVcMnQ/azza-power-supply-psaz1000a14s,1000,ATX
psu,Enermax TRIATHLOR ECO 1000 W 80+ Bronze Certified Semi-modular ATX Power Supply (ETL1000EWT-M),https://m.media-amazon.com/images/I/51BWHFpFchL.jpg,https://pcpartpicker.com/product/XqmxFT/enermax-triathlor-eco-1000w-80-gold-certified-semi-modular-atx-power-supply-etl1000ewt-m,1000,ATX
psu,CoolMax ZP-1000B 1000 W 80+ Bronze Certified Semi-modular ATX Power Supply (ZP-1000B),https://m.media-amazon.com/images/I/418Iy2thN2L.jpg,https://pcpartpicker.com/product/VXQypg/coolmax-power-supply-zp1000b,1000,ATX
psu,OCZ EliteXStream 1000 W 80+ Certified ATX Power Supply (OCZ1000EXS),https://images-na.ssl-images-amazon.com/images/I/41XL3c4kXBL.jpg,https://pcpartpicker.com/product/3nvRsY/ocz-power-supply-ocz1000exs,1000,ATX
psu,Thermaltake TR2 1000 W 80+ Certified Semi-modular ATX Power Supply (TRX-1000M),https://images-na.ssl-images-amazon.com/images/I/517%2B1KYJpQL.jpg,https://pcpartpicker.com/product/HtTmP6/thermaltake-power-supply-trx1000m,1000,ATX
psu,CoolMax RM-1000B 1000 W ATX Power Supply (RM-1000B),https://images-na.ssl-images-amazon.com/images/I/31w9XQ0CjxL.jpg,https://pcpartpicker.com/product/sMtCmG/coolmax-power-supply-rm1000b,1000,ATX
psu,Xion AXP-1000R14HE 1000 W 80+ Bronze Certified Fully Modular ATX Power Supply (AXP-1000R14HE),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/GYFPxr/xion-power-supply-axp1000r14he,1000,ATX
psu,Kingwin Mach 1 1000 W 80+ Bronze Certified Semi-modular ATX Power Supply (ABT-1000MA1S),https://images-na.ssl-images-amazon.com/images/I/51j4aSbUgoL.jpg,https://pcpartpicker.com/product/Zpw323/kingwin-power-supply-abt1000ma1s,1000,ATX
psu,Kingwin Lazer 1000 W 80+ Bronze Certified Semi-modular ATX Power Supply (LZ-1000),https://images-na.ssl-images-amazon.com/images/I/512YsycqP6L.jpg,https://pcpartpicker.com/product/3PBv6h/kingwin-power-supply-lz1000,1000,ATX
psu,CoolMax ZPG-1000B 1000 W 80+ Gold Certified Semi-modular ATX Power Supply (ZPG-1000B),https://images-na.ssl-images-amazon.com/images/I/31EyghC%2BtML.jpg,https://pcpartpicker.com/product/xdh9TW/coolmax-power-supply-zpg1000b,1000,ATX
psu,Sentey GSP1000-SM 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (GSP1000-SM),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/fs3RsY/sentey-power-supply-gsp1000sm,1000,ATX
psu,Thermaltake Toughpower 1000 W 80+ Silver Certified Semi-modular ATX Power Supply (TP-1000M),https://m.media-amazon.com/images/I/514a3BKYJEL.jpg,https://pcpartpicker.com/product/LyCwrH/thermaltake-power-supply-tp1000m,1000,ATX
