partType,name,image,url,type,size
memory,SK Hynix HMT351U7BFR8A-H9 4 GB (1 x 4 GB) DDR3-1333 CL9 Memory (HMT351U7BFR8A-H9),https://static/forever/img/no-image.png,https://pcpartpicker.com/product/yt97YJ/sk-hynix-4gb-1-x-4gb-ddr3-1333-memory-hmt351u7bfr8a-h9,DDR3,4
memory,Kingston HyperX Fury 8 GB (1 x 8 GB) DDR3-1600 CL10 Memory (HX316C10F/8),https://cdna.pcpartpicker.com/static/forever/images/product/420350537fa9e0e49b1e491fe9c4810d.256p.jpg,https://pcpartpicker.com/product/Y8W9TW/kingston-memory-hx316c10f8,DDR3,8
memory,Timetec FBA_75TT160UL1R8-4G 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (FBA_75TT160UL1R8-4G),https://m.media-amazon.com/images/I/51ImSWMMNNL.jpg,https://pcpartpicker.com/product/VbpQzy/timetec-fba_75tt160ul1r8-4g-16-gb-2-x-8-gb-ddr3-1600-cl11-memory-fba_75tt160ul1r8-4g,DDR3,16
memory,Crucial Ballistix Sport 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (BLS2KIT8G3D1609DS1S00),https://cdna.pcpartpicker.com/static/forever/images/product/4f53964cff021da1d075f4a17323166e.256p.jpg,https://pcpartpicker.com/product/fDLypg/crucial-memory-bls2kit8g3d1609ds1s00,DDR3,16
memory,Corsair Vengeance 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory (CMZ8GX3M2A1600C9B),https://cdna.pcpartpicker.com/static/forever/images/product/161d9b0027525a5ca803796d3b3748be.256p.jpg,https://pcpartpicker.com/product/6hzv6h/corsair-memory-cmz8gx3m2a1600c9b,DDR3,8
memory,Crucial CT102464BD160B 8 GB (1 x 8 GB) DDR3-1600 CL11 Memory (CT102464BD160B),https://m.media-amazon.com/images/I/41VVzmDqCPL.jpg,https://pcpartpicker.com/product/Hcqbt6/crucial-memory-ct102464bd160b,DDR3,8
memory,Kingston KVR16N11S8K2/8 8 GB (2 x 4 GB) DDR3-1600 CL11 Memory (KVR16N11S8K2/8),https://cdna.pcpartpicker.com/static/forever/images/product/92f125ce9c2c8a4901abea1bdb1b5d7a.256p.jpg,https://pcpartpicker.com/product/jHkD4D/kingston-memory-kvr16n11s8k28,DDR3,8
memory,Corsair Vengeance LP 16 GB (2 x 8 GB) DDR3-1600 CL10 Memory (CML16GX3M2A1600C10),https://cdna.pcpartpicker.com/static/forever/images/product/a63d7d3f0bfa8f1ceaaa907b48423c98.256p.jpg,https://pcpartpicker.com/product/NdkD4D/corsair-memory-cml16gx3m2a1600c10,DDR3,16
memory,G.Skill NS 2 GB (1 x 2 GB) DDR3-1333 CL9 Memory (F3-10600CL9S-2GBNS),https://images-na.ssl-images-amazon.com/images/I/41fnZwNLq6L.jpg,https://pcpartpicker.com/product/Lb9KHx/gskill-memory-f310600cl9s2gbns,DDR3,2
memory,Kingston HyperX Fury 16 GB (2 x 8 GB) DDR3-1600 CL10 Memory (HX316C10FBK2/16),https://cdna.pcpartpicker.com/static/forever/images/product/f5e970b32d6341614fdafff924304d72.256p.jpg,https://pcpartpicker.com/product/N9h9TW/kingston-memory-hx316c10fbk216,DDR3,16
memory,G.Skill Trident X 32 GB (4 x 8 GB) DDR3-2400 CL10 Memory (F3-2400C10Q-32GTX),https://cdna.pcpartpicker.com/static/forever/images/product/11cf47f1d4f2416d6df32ff7c2fac50f.med.256p.jpg,https://pcpartpicker.com/product/9VNp99/gskill-memory-f32400c10q32gtx,DDR3,32
memory,G.Skill Trident X 16 GB (2 x 8 GB) DDR3-2400 CL10 Memory (F3-2400C10D-16GTX),https://cdna.pcpartpicker.com/static/forever/images/product/70b1b90bd54f3ea1d1201920a013e7de.med.256p.jpg,https://pcpartpicker.com/product/wxzv6h/gskill-memory-f32400c10d16gtx,DDR3,16
memory,Kingston KVR13N9K2/16 16 GB (2 x 8 GB) DDR3-1333 CL9 Memory (KVR13N9K2/16),https://m.media-amazon.com/images/I/41yQZwJTLsL.jpg,https://pcpartpicker.com/product/hNtCmG/kingston-memory-kvr13n9k216,DDR3,16
